team_id,sprint_id,allocated_hours,actual_hours,overtime_hours,utilization_ratio,tasks_planned,tasks_completed,spillover_tasks,velocity_deviation_pct,workload_volatility,consecutive_high_load_sprints,delivery_risk_label,burnout_risk_label
Team_2,8,375,449,74,1.2,46,44,2,-0.04,0.55,2,0,0
Team_2,9,337,334,0,0.99,42,40,2,-0.05,0.22,0,0,0
Team_2,10,347,345,0,0.99,56,50,6,-0.11,0.14,0,0,0
Team_2,11,363,347,0,0.96,56,53,3,-0.05,0.34,0,0,0
Team_2,12,329,355,26,1.08,48,47,1,-0.02,0.14,0,0,0
Team_2,13,353,423,70,1.2,47,40,7,-0.15,0.32,1,0,0
Team_2,14,361,421,60,1.17,45,42,3,-0.07,0.42,2,0,0
Team_2,15,378,396,18,1.05,52,47,5,-0.1,0.4,0,0,0
Team_2,16,352,461,109,1.31,45,40,5,-0.11,0.22,1,0,0
Team_2,17,323,376,53,1.16,50,43,7,-0.14,0.55,2,0,0
Team_2,18,322,312,0,0.97,47,43,4,-0.09,0.59,0,0,0
Team_2,19,325,350,25,1.08,59,56,3,-0.05,0.1,0,0,0
Team_2,20,370,391,21,1.06,41,34,7,-0.17,0.34,0,0,0
Team_3,1,364,367,3,1.01,44,39,5,-0.11,0.58,0,0,0
Team_3,2,387,365,0,0.94,59,59,0,0.0,0.47,0,0,0
Team_3,3,331,337,6,1.02,40,31,9,-0.23,0.48,0,1,0
Team_3,4,357,353,0,0.99,50,47,3,-0.06,0.26,0,0,0
Team_3,5,322,415,93,1.29,57,50,7,-0.12,0.17,1,0,0
Team_3,6,342,439,97,1.28,51,50,1,-0.02,0.26,2,0,0
Team_3,7,321,364,43,1.13,40,36,4,-0.1,0.1,3,0,1
Team_3,8,328,430,102,1.31,45,39,6,-0.13,0.5,4,0,1
Team_3,9,368,396,28,1.08,51,50,1,-0.02,0.16,0,0,0
Team_3,10,394,490,96,1.24,41,39,2,-0.05,0.13,1,0,0
Team_3,11,359,382,23,1.06,47,39,8,-0.17,0.48,0,0,0
Team_3,12,379,368,0,0.97,42,38,4,-0.1,0.19,0,0,0
Team_3,13,397,510,113,1.28,43,35,8,-0.19,0.54,1,0,0
Team_3,14,337,336,0,1.0,47,41,6,-0.13,0.46,0,0,0
Team_3,15,351,435,84,1.24,45,45,0,0.0,0.47,1,0,0
Team_3,16,334,446,112,1.34,56,56,0,0.0,0.3,2,0,0
Team_3,17,385,397,12,1.03,47,40,7,-0.15,0.41,0,0,0
Team_3,18,370,463,93,1.25,42,36,6,-0.14,0.47,1,0,0
Team_3,19,361,335,0,0.93,54,54,0,0.0,0.37,0,0,0
Team_3,20,346,462,116,1.34,45,37,8,-0.18,0.26,1,0,0
Team_4,1,346,338,0,0.98,43,38,5,-0.12,0.46,0,0,0
Team_4,2,324,406,82,1.25,49,49,0,0.0,0.15,1,0,0
Team_4,3,332,450,118,1.36,54,51,3,-0.06,0.33,2,0,0
Team_4,4,371,345,0,0.93,47,43,4,-0.09,0.34,0,0,0
Team_4,5,387,422,35,1.09,52,51,1,-0.02,0.11,0,0,0
Team_4,6,355,350,0,0.99,50,46,4,-0.08,0.51,0,0,0
Team_4,7,393,456,63,1.16,45,40,5,-0.11,0.3,1,0,0
Team_4,8,366,415,49,1.13,53,44,9,-0.17,0.39,2,0,0
Team_4,9,381,451,70,1.18,47,44,3,-0.06,0.56,3,0,1
Team_4,10,324,403,79,1.24,44,37,7,-0.16,0.43,4,0,1
Team_4,11,350,431,81,1.23,48,43,5,-0.1,0.14,5,0,1
Team_4,12,397,396,0,1.0,48,43,5,-0.1,0.56,0,0,0
Team_4,13,320,325,5,1.02,44,40,4,-0.09,0.18,0,0,0
Team_4,14,355,371,16,1.05,40,35,5,-0.12,0.36,0,0,0
Team_4,15,359,461,102,1.28,54,46,8,-0.15,0.47,1,0,0
Team_4,16,393,409,16,1.04,48,46,2,-0.04,0.3,0,0,0
Team_4,17,344,393,49,1.14,50,45,5,-0.1,0.27,1,0,0
Team_4,18,353,403,50,1.14,56,54,2,-0.04,0.22,2,0,0
Team_4,19,344,391,47,1.14,40,40,0,0.0,0.49,3,0,1
Team_4,20,341,454,113,1.33,57,53,4,-0.07,0.36,4,0,1
Team_5,1,368,475,107,1.29,47,47,0,0.0,0.25,1,0,0
Team_5,2,332,414,82,1.25,58,58,0,0.0,0.12,2,0,0
Team_5,3,349,452,103,1.3,47,45,2,-0.04,0.13,3,0,1
Team_5,4,397,471,74,1.19,54,53,1,-0.02,0.36,4,0,1
Team_5,5,357,379,22,1.06,43,43,0,0.0,0.27,0,0,0
Team_5,6,374,436,62,1.17,42,33,9,-0.21,0.24,1,1,0
Team_5,7,353,436,83,1.24,40,34,6,-0.15,0.59,2,0,0
Team_5,8,351,445,94,1.27,47,47,0,0.0,0.38,3,0,1
Team_5,9,386,417,31,1.08,54,50,4,-0.07,0.19,0,0,0
Team_5,10,327,321,0,0.98,53,46,7,-0.13,0.5,0,0,0
Team_5,11,335,436,101,1.3,55,54,1,-0.02,0.11,1,0,0
Team_5,12,326,436,110,1.34,58,56,2,-0.03,0.39,2,0,0
Team_5,13,379,420,41,1.11,41,41,0,0.0,0.51,3,0,1
Team_5,14,339,309,0,0.91,49,48,1,-0.02,0.28,0,0,0
Team_5,15,331,310,0,0.94,44,40,4,-0.09,0.3,0,0,0
Team_5,16,328,340,12,1.04,51,49,2,-0.04,0.57,0,0,0
Team_5,17,343,383,40,1.12,49,42,7,-0.14,0.59,1,0,0
Team_5,18,333,301,0,0.9,47,46,1,-0.02,0.42,0,0,0
Team_5,19,392,373,0,0.95,50,47,3,-0.06,0.17,0,0,0
Team_5,20,348,416,68,1.2,41,35,6,-0.15,0.44,1,0,0
Team_6,1,389,494,105,1.27,49,46,3,-0.06,0.35,1,0,0
Team_6,2,353,329,0,0.93,44,36,8,-0.18,0.35,0,0,0
Team_6,3,395,441,46,1.12,49,44,5,-0.1,0.17,1,0,0
Team_6,4,376,366,0,0.97,45,38,7,-0.16,0.23,0,0,0
Team_6,5,372,469,97,1.26,52,52,0,0.0,0.31,1,0,0
Team_6,6,381,462,81,1.21,53,52,1,-0.02,0.18,2,0,0
Team_6,7,384,394,10,1.03,43,41,2,-0.05,0.22,0,0,0
Team_6,8,340,310,0,0.91,47,44,3,-0.06,0.46,0,0,0
Team_6,9,358,371,13,1.04,41,35,6,-0.15,0.43,0,0,0
Team_6,10,341,369,28,1.08,40,31,9,-0.23,0.12,0,1,0
Team_6,11,339,379,40,1.12,52,51,1,-0.02,0.41,1,0,0
Team_6,12,385,417,32,1.08,48,41,7,-0.15,0.46,0,0,0
Team_6,13,380,443,63,1.17,49,41,8,-0.16,0.22,1,0,0
Team_6,14,322,389,67,1.21,51,49,2,-0.04,0.24,2,0,0
Team_6,15,331,309,0,0.93,44,44,0,0.0,0.17,0,0,0
Team_6,16,393,409,16,1.04,56,49,7,-0.12,0.48,0,0,0
Team_6,17,340,380,40,1.12,44,39,5,-0.11,0.42,1,0,0
Team_6,18,391,375,0,0.96,57,49,8,-0.14,0.42,0,0,0
Team_6,19,378,491,113,1.3,48,39,9,-0.19,0.12,1,0,0
Team_6,20,329,304,0,0.92,46,46,0,0.0,0.19,0,0,0
Team_7,1,326,299,0,0.92,54,50,4,-0.07,0.47,0,0,0
Team_7,2,367,398,31,1.08,57,51,6,-0.11,0.5,0,0,0
Team_7,3,358,463,105,1.29,49,43,6,-0.12,0.12,1,0,0
Team_7,4,350,461,111,1.32,42,41,1,-0.02,0.54,2,0,0
Team_7,5,362,429,67,1.19,46,39,7,-0.15,0.37,3,0,1
Team_7,6,344,444,100,1.29,57,57,0,0.0,0.54,4,0,1
Team_7,7,361,428,67,1.19,41,35,6,-0.15,0.33,5,0,1
Team_7,8,353,470,117,1.33,52,51,1,-0.02,0.57,6,0,1
Team_7,9,358,363,5,1.01,59,59,0,0.0,0.3,0,0,0
Team_7,10,376,351,0,0.93,51,43,8,-0.16,0.48,0,0,0
Team_7,11,344,406,62,1.18,59,55,4,-0.07,0.47,1,0,0
Team_7,12,368,330,0,0.9,52,45,7,-0.13,0.24,0,0,0
Team_7,13,387,492,105,1.27,44,36,8,-0.18,0.24,1,0,0
Team_7,14,372,404,32,1.09,54,54,0,0.0,0.3,0,0,0
Team_7,15,387,486,99,1.26,44,40,4,-0.09,0.14,1,0,0
Team_7,16,389,387,0,0.99,53,46,7,-0.13,0.33,0,0,0
Team_7,17,396,508,112,1.28,46,43,3,-0.07,0.13,1,0,0
Team_7,18,391,498,107,1.27,58,49,9,-0.16,0.12,2,0,0
Team_7,19,376,338,0,0.9,45,41,4,-0.09,0.13,0,0,0
Team_7,20,366,334,0,0.91,42,39,3,-0.07,0.6,0,0,0
Team_8,1,380,462,82,1.22,49,47,2,-0.04,0.48,1,0,0
Team_8,2,381,485,104,1.27,42,40,2,-0.05,0.21,2,0,0
Team_8,3,392,419,27,1.07,53,49,4,-0.08,0.15,0,0,0
Team_8,4,375,401,26,1.07,48,46,2,-0.04,0.58,0,0,0
Team_8,5,395,363,0,0.92,54,47,7,-0.13,0.57,0,0,0
Team_8,6,330,413,83,1.25,54,49,5,-0.09,0.23,1,0,0
Team_8,7,324,373,49,1.15,57,52,5,-0.09,0.58,2,0,0
Team_8,8,367,354,0,0.96,44,44,0,0.0,0.13,0,0,0
Team_8,9,364,385,21,1.06,58,49,9,-0.16,0.39,0,0,0
Team_8,10,359,416,57,1.16,47,47,0,0.0,0.54,1,0,0
Team_8,11,338,377,39,1.12,47,47,0,0.0,0.18,2,0,0
Team_8,12,367,339,0,0.92,50,42,8,-0.16,0.57,0,0,0
Team_8,13,382,496,114,1.3,45,39,6,-0.13,0.54,1,0,0
Team_8,14,364,381,17,1.05,58,52,6,-0.1,0.1,0,0,0
Team_8,15,351,417,66,1.19,46,45,1,-0.02,0.51,1,0,0
Team_8,16,397,433,36,1.09,51,45,6,-0.12,0.2,0,0,0
Team_8,17,332,337,5,1.02,56,48,8,-0.14,0.42,0,0,0
Team_8,18,379,426,47,1.12,52,50,2,-0.04,0.16,1,0,0
Team_8,19,349,382,33,1.09,48,47,1,-0.02,0.27,0,0,0
Team_8,20,379,417,38,1.1,44,39,5,-0.11,0.57,0,0,0
